Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00511779, 0.00268315, 0.00243385, 0.000321447, 7647, 68842, 19926
0.00437983, 0.00248756, 0.0018914, 0.000414746, 7277, 64729, 35301
0.00503821, 0.0028234, 0.00221376, 0.000349813, 7868, 69591, 22632
0.00441207, 0.00256829, 0.00184296, 0.000209349, 7699, 69125, 15129
0.00484184, 0.00299709, 0.00184399, 0.000226302, 7762, 69832, 15252
0.00485607, 0.00281891, 0.00203629, 0.000438656, 7813, 69721, 39237
0.00410275, 0.00246611, 0.00163584, 0.000177356, 7595, 69212, 13284
0.00633791, 0.00406711, 0.0022699, 0.000244282, 7829, 69680, 12792
0.00476217, 0.00262141, 0.00213999, 0.000261712, 7140, 64786, 15129
0.00578087, 0.00381956, 0.00196044, 0.000341016, 7125, 64976, 25830
0.00437831, 0.00248068, 0.00189687, 0.000306507, 7681, 68533, 24600
0.00508184, 0.00310039, 0.00198017, 0.000306898, 7865, 69298, 23370
0.0048505, 0.00318766, 0.00166205, 0.00012011, 7444, 66999, 7257
0.0126257, 0.00289568, 0.00972902, 0.00580666, 7747, 70879, 731850
0.0126432, 0.00300072, 0.00964141, 0.00580479, 7840, 71295, 750546
0.00945912, 0.00263825, 0.00681996, 0.00376464, 7459, 68753, 475026
0.00678451, 0.00262799, 0.00415556, 0.00178744, 7723, 69055, 214635
0.0063614, 0.00243645, 0.00392419, 0.00127878, 7211, 64932, 122385
0.00576279, 0.00299185, 0.00277005, 0.000859017, 7485, 66555, 88683
0.00492327, 0.00261287, 0.00230919, 0.000574426, 7746, 68183, 55719
0.0073621, 0.00245574, 0.00490561, 0.00243114, 7121, 64328, 285729
0.00709203, 0.0027043, 0.00438697, 0.00193609, 7721, 67912, 229149
0.00721406, 0.00263879, 0.00457461, 0.00199759, 7723, 66540, 213036
0.00641031, 0.00264135, 0.0037679, 0.00149988, 7734, 67602, 165681
0.00532747, 0.00246805, 0.00285859, 0.000948308, 7538, 66666, 102090
0.00619164, 0.00257969, 0.00361114, 0.000819356, 7745, 66580, 57933
0.0048712, 0.00253152, 0.00233888, 0.000587992, 7729, 67137, 62484
0.00572399, 0.00259784, 0.00312464, 0.000833918, 7366, 65684, 59532
0.00495936, 0.00250005, 0.00245844, 0.000675716, 7711, 67724, 68634
0.00661698, 0.00345785, 0.00315795, 0.000911338, 7759, 67813, 86223
0.0047661, 0.00262822, 0.00213709, 0.00051306, 7393, 65221, 49200
0.00480615, 0.00256284, 0.0022424, 0.000513152, 7810, 67980, 48708
0.00674784, 0.00269173, 0.00405547, 0.0017586, 7795, 67444, 211068
0.0131072, 0.0029574, 0.0101488, 0.00616011, 7416, 68264, 801591
0.0137559, 0.00283875, 0.0109161, 0.00665501, 7666, 70654, 852144
0.0111127, 0.00276448, 0.00834729, 0.00451525, 7884, 71346, 457191
0.0240367, 0.00255179, 0.00879672, 0.0136745, 7043, 67560, 1.52212e+06
0.00937224, 0.0026623, 0.00670914, 0.00352307, 7510, 70302, 432960
0.0091849, 0.00250631, 0.00667779, 0.00349365, 7092, 66177, 331854
0.00823165, 0.00282162, 0.00540913, 0.00257691, 7652, 69905, 298152
0.00665546, 0.00243719, 0.00421737, 0.00189566, 7077, 64994, 223368
0.00761337, 0.00266667, 0.00494589, 0.00235974, 7891, 71770, 280932
0.0355773, 0.00277981, 0.0107545, 0.0222257, 7783, 74578, 2.65397e+06
0.011676, 0.00268983, 0.00898505, 0.00529005, 7365, 70185, 653991
0.0100715, 0.00274179, 0.0073288, 0.00410218, 7481, 71112, 488556
0.00926462, 0.00277177, 0.00649196, 0.0034707, 7773, 73357, 408975
0.00996494, 0.00269651, 0.00726773, 0.0041168, 7873, 73691, 499503
0.0138505, 0.002846, 0.0110036, 0.00675654, 7763, 72921, 798885
0.0194036, 0.00268168, 0.0167209, 0.0110247, 7357, 72165, 1.37403e+06
0.0141716, 0.00359482, 0.0105758, 0.00653298, 7690, 73147, 822747
0.0107069, 0.00261713, 0.00808892, 0.00448031, 7175, 68194, 449811
0.00781627, 0.00254445, 0.00527085, 0.00254972, 7067, 68732, 293355
0.00911651, 0.00327111, 0.00584451, 0.00278523, 7364, 70996, 306147
0.00761418, 0.00245759, 0.00515591, 0.00242139, 7076, 67355, 279948
0.0126341, 0.00287687, 0.00975631, 0.00560946, 7645, 73044, 672933
0.0113122, 0.00296475, 0.00834659, 0.00458045, 7742, 73397, 491631
0.015237, 0.00259438, 0.0126418, 0.00779231, 7141, 70556, 940212
0.0189493, 0.00293235, 0.016016, 0.0103034, 7252, 73610, 1.32188e+06
0.0210431, 0.00345821, 0.0175841, 0.0113616, 7638, 77616, 1.38535e+06
0.0180644, 0.00313034, 0.0149333, 0.00927749, 7808, 79381, 1.18806e+06
0.0162204, 0.00288186, 0.0133377, 0.00817475, 7776, 77101, 1.03812e+06
0.0147142, 0.00281622, 0.0118971, 0.00723196, 7639, 76376, 912660
0.0125974, 0.0028574, 0.0097393, 0.00572536, 7788, 77151, 703560
0.0119553, 0.0028244, 0.00912999, 0.00508809, 7634, 74260, 585234
0.0112834, 0.00284087, 0.00844155, 0.00460237, 7618, 74692, 484866
0.0109906, 0.00339272, 0.00759665, 0.00419955, 7837, 75951, 483144
0.0103674, 0.00276103, 0.00760555, 0.00408976, 7676, 75151, 487080
0.00990713, 0.00268525, 0.00722114, 0.00387523, 7477, 71919, 471582
0.00797196, 0.00270831, 0.0052628, 0.00254283, 7140, 68352, 299874
0.0112564, 0.00431338, 0.00694187, 0.00294824, 7533, 72686, 194832
0.00770076, 0.00279978, 0.00490014, 0.00218289, 7695, 73465, 249936
0.00897255, 0.00326326, 0.0057083, 0.00277326, 7430, 73654, 320415
0.0103376, 0.00297507, 0.00736165, 0.0038381, 7679, 76657, 429639
0.00905524, 0.00293813, 0.00611615, 0.00297675, 7717, 74988, 350919
0.00772049, 0.00274901, 0.00497069, 0.0022626, 7186, 70339, 257439
0.0077056, 0.00280623, 0.00489861, 0.00213174, 7795, 75473, 246369
0.00686126, 0.00291899, 0.00394095, 0.00132955, 7688, 74456, 126198
0.00510747, 0.0027436, 0.00236308, 0.00053247, 7610, 73163, 44526
0.00485896, 0.00267154, 0.00218621, 0.000364582, 7665, 70584, 31365
0.00518055, 0.00282646, 0.00235288, 0.000432705, 7674, 71354, 34317
0.00677792, 0.00354784, 0.00322898, 0.00075026, 7769, 73566, 62484
0.00515074, 0.00249471, 0.00265514, 0.00061607, 7042, 66810, 55965
0.00522099, 0.00266541, 0.00255489, 0.000591011, 7648, 71342, 55965
0.0359167, 0.00273356, 0.00647276, 0.0223197, 7742, 74296, 2.66295e+06
0.00813056, 0.00269558, 0.00543344, 0.00274704, 7740, 73958, 328902
0.00771938, 0.00288725, 0.00483119, 0.0023621, 7756, 73316, 290649
0.00745467, 0.00287384, 0.00457964, 0.00204483, 7759, 72281, 236652
0.00738491, 0.00302194, 0.00436186, 0.00196315, 7602, 72078, 228411
0.00740037, 0.00264875, 0.00475076, 0.00209696, 7532, 69767, 212175
0.0819309, 0.00444145, 0.0210051, 0.0511562, 7727, 74014, 4.2066e+06
0.010001, 0.00281465, 0.00718571, 0.00402469, 7787, 74627, 461250
0.00930302, 0.00296478, 0.00633749, 0.00346446, 7080, 69119, 416478
0.00912089, 0.00267824, 0.00644198, 0.00344911, 7515, 71209, 412419
0.00845565, 0.00251228, 0.00594259, 0.00313633, 7112, 68906, 373428
0.00827332, 0.00312725, 0.00514407, 0.00253645, 7000, 66914, 277242
0.00898162, 0.00281457, 0.00616622, 0.00306843, 7466, 70235, 326319
0.0706679, 0.00369296, 0.0124484, 0.0406338, 7660, 73085, 4.5986e+06
0.0111704, 0.00352723, 0.00764229, 0.00439294, 7217, 69733, 540831
0.00995601, 0.00302995, 0.00692523, 0.00385211, 7233, 70545, 470721
0.0114102, 0.00440221, 0.00700673, 0.00380379, 7728, 72515, 422505
0.00830358, 0.00270907, 0.00559362, 0.00283546, 7703, 71137, 335175
0.00892564, 0.00249647, 0.00642836, 0.00333065, 7158, 68576, 372813
0.00788107, 0.00280236, 0.00507787, 0.00250242, 7687, 71277, 290157
0.00962044, 0.00266679, 0.00695285, 0.00349505, 7752, 70433, 292617
0.0887246, 0.00472582, 0.0151318, 0.0629585, 7579, 73429, 5.51274e+06
0.011679, 0.0027657, 0.00891281, 0.00523749, 7811, 75253, 642552
0.0098514, 0.00272646, 0.00712414, 0.00407187, 7781, 72635, 510696
0.00979552, 0.00278796, 0.0070067, 0.00383637, 7769, 72134, 436896
0.0092034, 0.00251192, 0.00669065, 0.00363747, 7118, 67771, 435912
