fsm, mapping, replan, sfc, mpc, df, total, 
5.309e-06, 0, 0, 0, 0.000671702, 3.649e-06, 0.000681465, 
2.76e-06, 0, 0, 0, 0.000481954, 2.765e-06, 0.000488015, 
1.792e-06, 0, 0, 0, 0.000323624, 1.645e-06, 0.000327412, 
2.833e-06, 0, 0, 0, 0.000413659, 2.039e-06, 0.000418766, 
2.495e-06, 0, 0, 0, 0.000354481, 1.712e-06, 0.000358937, 
1.626e-06, 0, 0, 0, 0.0002446, 1.185e-06, 0.000247606, 
1.733e-06, 0, 0, 0, 0.000256367, 1.0736e-05, 0.000269032, 
5.111e-06, 0, 0, 0, 0.000379409, 2.569e-06, 0.000387632, 
3.067e-06, 0.022989, 0, 0, 0.000385921, 1.1596e-05, 0.000400917, 
2.03e-06, 0, 0, 0, 0.000248201, 1.638e-06, 0.000252061, 
1.943e-06, 0, 0, 0, 0.000363224, 2.213e-06, 0.000367629, 
2.253e-06, 0, 0, 0, 0.000407262, 2.079e-06, 0.000411897, 
2.987e-06, 0, 0, 0, 0.000263106, 1.44e-06, 0.000267865, 
1.833e-06, 0, 0, 0, 0.000251489, 1.318e-06, 0.000254958, 
1.649e-06, 0.00931282, 0, 0, 0.000256689, 1.509e-06, 0.000260032, 
1.658e-06, 0, 0, 0, 0.000266771, 1.579e-06, 0.000270223, 
2.002e-06, 0, 0, 0, 0.000256554, 1.817e-06, 0.00026069, 
3.191e-06, 0, 0, 0, 0.000378187, 2.243e-06, 0.000384021, 
2.033e-06, 0, 0, 0, 0.000407784, 1.394e-06, 0.000411619, 
2.577e-06, 0, 0, 0, 0.000331612, 2.272e-06, 0.000336937, 
3.042e-06, 0, 0, 0, 0.000365899, 1.2967e-05, 0.000382222, 
2.167e-06, 0, 0, 0, 0.000348364, 6.839e-06, 0.000357843, 
1.751e-06, 0, 0, 0, 0.000346916, 1.706e-06, 0.000350612, 
2.606e-06, 0, 0, 0, 0.000264806, 1.516e-06, 0.00026913, 
1.882e-06, 0, 0, 0, 0.000346377, 1.955e-06, 0.000350562, 
1.991e-06, 0.0206665, 0, 0, 0.000335018, 1.841e-06, 0.000339137, 
1.542e-06, 0, 0, 0, 0.000328409, 1.53e-06, 0.000331663, 
4.689e-06, 0, 0, 0, 0.000397547, 1.642e-06, 0.00040406, 
2.446e-06, 0, 0, 0, 0.000568296, 2.277e-06, 0.000573414, 
2.37e-06, 0, 0, 0, 0.000586919, 1.767e-06, 0.00059153, 
2.441e-06, 0, 0, 0, 0.000482418, 2.576e-06, 0.000488003, 
2.637e-06, 0, 0, 0, 0.000676993, 2.131e-06, 0.000682341, 
2.443e-06, 0, 0, 0, 0.000466943, 2.47e-06, 0.000472628, 
2.53e-06, 0, 0, 0, 0.000331737, 1.133e-05, 0.000345863, 
2.292e-06, 0, 0, 0, 0.000475771, 1.582e-06, 0.000479963, 
1.533e-06, 0, 0, 0, 0.000336123, 1.485e-06, 0.000339308, 
1.861e-06, 0.0197594, 0, 0, 0.000334598, 2.124e-06, 0.000338933, 
2.697e-06, 0, 0, 0, 0.000514489, 2.342e-06, 0.000520004, 
2.696e-06, 0, 0, 0, 0.000485881, 1.726e-06, 0.000490677, 
2.816e-06, 0, 0, 0, 0.00070287, 1.879e-06, 0.000708027, 
3.284e-06, 0, 0, 0, 0.000680578, 3.199e-06, 0.000687494, 
1.815e-06, 0, 0, 0, 0.000467094, 1.447e-06, 0.000470583, 
2.2e-06, 0, 0, 0, 0.000495875, 1.704e-06, 0.000500091, 
1.737e-06, 0, 0, 0, 0.000328678, 1.054e-06, 0.000331642, 
1.821e-06, 0, 0, 0, 0.000335631, 1.546e-06, 0.000339169, 
1.977e-06, 0.00881596, 0, 0, 0.000327243, 1.129e-06, 0.00033058, 
1.547e-06, 0, 0, 0, 0.000330083, 1.946e-06, 0.000333844, 
3.167e-06, 0, 0, 0, 0.000533987, 2.676e-06, 0.000540231, 
2.926e-06, 0, 0, 0, 0.000360073, 2.437e-06, 0.00036586, 
2.549e-06, 0, 0, 0, 0.000533683, 1.948e-06, 0.000538604, 
2.441e-06, 0, 0, 0, 0.000515148, 1.752e-06, 0.000519693, 
1.638e-06, 0, 0, 0, 0.000441309, 1.26e-06, 0.000444445, 
